scope,scenario_id,candidate,baseline,seed_count,utility_difference,utility_lower_95,utility_upper_95,positive_seeds,collision_difference,effective_airtime_difference,p95_delay_difference_us,fairness_difference
stationary,poisson-n04-p025,adaptive_db_lbt,tmc_db_lbt,32,0.018278858172119317,0.01802949412311717,0.01852007449625548,32,-0.0734975,-9.226304412675301e-05,105.59375,1.6900060484780627e-05
stationary,poisson-n04-p025,adaptive_db_lbt,fixed_arm_4,32,2.599251220672394e-05,-0.00016545417548705538,0.00020317369161546036,16,-0.0002615625000000005,-7.806495529782964e-06,56.65625,2.924657149933063e-06
stationary,poisson-n06-p045,adaptive_db_lbt,tmc_db_lbt,32,-8.86954782458628e-05,-0.0001203088411392779,-5.743322226929313e-05,6,0.000156875,-0.00014875636821233898,0.0,3.2618347481361276e-07
stationary,poisson-n06-p045,adaptive_db_lbt,fixed_arm_20,32,-8.86954782458628e-05,-0.0001203088411392779,-5.743322226929313e-05,6,0.000156875,-0.00014875636821233898,0.0,3.2618347481361276e-07
fixed-profile-conflict,poisson-n04-p025,fixed_arm_4,fixed_arm_20,32,0.018252865659912593,0.018014995395817544,0.01847961241237735,32,-0.0732359375,-8.445654859697005e-05,48.9375,1.3975403334847564e-05
fixed-profile-conflict,poisson-n06-p045,fixed_arm_20,fixed_arm_4,32,8.253991754348516e-05,4.8065534812475726e-05,0.00011653147246258669,26,-0.0001521875,0.000135415646505644,0.0,-1.9365188752493157e-06
repeated-phase,repeated-poisson-n04-p025-n06-p045,adaptive_db_lbt,tmc_db_lbt,32,-0.0010652779498274458,-0.0013345996697202412,-0.0007973397516748844,3,-0.03100299835205078,-0.013656614874866805,2179.71875,-0.008432030238653635
repeated-phase,repeated-poisson-n04-p025-n06-p045,adaptive_db_lbt,fixed_arm_4,32,-0.00022762159720479333,-0.0004004693992155211,-4.118167689205701e-05,9,0.000789642333984375,-0.00017146466752725187,-63.6875,-4.654337359890834e-05
repeated-phase,repeated-poisson-n04-p025-n06-p045,adaptive_db_lbt,fixed_arm_20,32,-0.0010652779498274458,-0.0013345996697202412,-0.0007973397516748844,3,-0.03100299835205078,-0.013656614874866805,2179.71875,-0.008432030238653635
