scope,scenario_id,candidate,baseline,seed_count,utility_difference,utility_lower_95,utility_upper_95,positive_seeds,collision_difference,effective_airtime_difference,p95_delay_difference_us,fairness_difference
phase-segment,low-n04-p025,adaptive_db_lbt,tmc_db_lbt,32,0.01843092335953518,0.01790883433261821,0.01893430659710585,32,-0.06539344787597656,0.006475344994722236,176.9375,0.0001262141769009413
phase-segment,low-n04-p025,adaptive_db_lbt,fixed_arm_4,32,-0.00011697979715038359,-0.0004995593840674691,0.00029519008767309667,11,0.0007114410400390625,-6.110708075529256e-05,-114.84375,1.4060969333502121e-05
phase-segment,low-n04-p025,adaptive_db_lbt,fixed_arm_20,32,0.01843092335953518,0.01790883433261821,0.01893430659710585,32,-0.06539344787597656,0.006475344994722236,176.9375,0.0001262141769009413
phase-segment,high-n06-p045,adaptive_db_lbt,tmc_db_lbt,32,-0.00839741573385951,-0.008754521869774504,-0.008061709450167811,0,0.003387451171875,-0.022058021023134994,312.40625,3.117470046262727e-05
phase-segment,high-n06-p045,adaptive_db_lbt,fixed_arm_4,32,-0.0004338048729675102,-0.0007811156527688412,-0.00011793164188931928,15,0.0008678436279296875,-2.3986250868648917e-05,312.28125,-1.9831470866628342e-06
phase-segment,high-n06-p045,adaptive_db_lbt,fixed_arm_20,32,-0.00839741573385951,-0.008754521869774504,-0.008061709450167811,0,0.003387451171875,-0.022058021023134994,312.40625,3.117470046262727e-05
