arm_id,mean_utility,worst_scenario_utility
0,0.8149058814716044,0.6562470093732559
1,0.8149058814716044,0.6562470093732559
2,0.8161244743232373,0.6586632546874354
3,0.8161244743232373,0.6586632546874354
4,0.8170275384757065,0.660457489775154
5,0.8170275384757065,0.660457489775154
6,0.8060894603944919,0.6385087626989892
7,0.8060894603944919,0.6385087626989892
8,0.8072993050420569,0.6409205278667048
9,0.8072993050420569,0.6409205278667048
10,0.8083006067523055,0.642914908337265
11,0.8083006067523055,0.642914908337265
12,0.8150045005518256,0.6564432272004026
13,0.8150045005518256,0.6564432272004026
14,0.8162013276760431,0.6588133299106796
15,0.8162013276760431,0.6588133299106796
16,0.8170290609078119,0.6604597986174836
17,0.8170290609078119,0.6604597986174836
18,0.8069217120313287,0.6401756704169315
19,0.8069217120313287,0.6401756704169315
20,0.807942375604522,0.6422046241152414
21,0.807942375604522,0.6422046241152414
22,0.8086053369965125,0.6435174225213895
23,0.8086053369965125,0.6435174225213895
