scope,scenario_id,candidate,baseline,seed_count,utility_difference,utility_lower_95,utility_upper_95,positive_seeds,collision_difference,effective_airtime_difference,p95_delay_difference_us,fairness_difference
phase-segment,low-n04-p025,adaptive_db_lbt,tmc_db_lbt,32,0.015734652478514854,0.015322026100636396,0.016144819626626134,32,-0.06640434265136719,-0.0023451419176830184,355.4453125,0.00045673298970221043
phase-segment,high-n06-p045,adaptive_db_lbt,tmc_db_lbt,32,-0.00105804124683272,-0.0012833888938401147,-0.0008425007957216724,1,0.0018291473388671875,-0.00177346340772069,31.203125,3.360642137294201e-05
time-averaged-phase,all-phases,adaptive_db_lbt,tmc_db_lbt,32,0.007338305615841076,0.007093042911850991,0.0075838198447519215,32,-0.03228759765625,-0.0020593026627018576,193.32421875,0.0002451697055375554
