arm_id,mean_utility,worst_scenario_utility
0,0.7420293067519111,0.5591968351983981
1,0.7420293067519111,0.5591968351983981
2,0.7433490171787408,0.5603441893695801
3,0.7433490171787408,0.5603441893695801
4,0.7442504647004108,0.5610967845889931
5,0.7442504647004108,0.5610967845889931
6,0.7307967080013165,0.5424937206500077
7,0.7307967080013165,0.5424937206500077
8,0.732507137348624,0.5455434126930213
9,0.732507137348624,0.5455434126930213
10,0.7333922533042528,0.5465493221822914
11,0.7333922533042528,0.5465493221822914
12,0.7421392991241677,0.5592128911758109
13,0.7421392991241677,0.5592128911758109
14,0.7432069105765344,0.5602704441483872
15,0.7432069105765344,0.5602704441483872
16,0.7441270016716995,0.5611816220072949
17,0.7441270016716995,0.5611816220072949
18,0.7321039681538003,0.5456731507249395
19,0.7321039681538003,0.5456731507249395
20,0.7327209128128582,0.5461988469864462
21,0.7327209128128582,0.5461988469864462
22,0.733972082046907,0.5491040963386179
23,0.733972082046907,0.5491040963386179
