run_id,phase_id,change_round,recovery_rounds,dwell_rounds,censored
04f1e47fc7c2fff0,high-n06-p045,4096,768,4096,False
04f1e47fc7c2fff0,low-n04-p025,8192,0,4096,False
04f1e47fc7c2fff0,high-n06-p045,12288,832,4096,False
04f1e47fc7c2fff0,low-n04-p025,16384,0,4096,False
04f1e47fc7c2fff0,high-n06-p045,20480,704,4096,False
04f1e47fc7c2fff0,low-n04-p025,24576,0,4096,False
04f1e47fc7c2fff0,high-n06-p045,28672,864,4096,False
074bdbaa5ac46075,high-n06-p045,4096,736,4096,False
074bdbaa5ac46075,low-n04-p025,8192,0,4096,False
074bdbaa5ac46075,high-n06-p045,12288,736,4096,False
074bdbaa5ac46075,low-n04-p025,16384,0,4096,False
074bdbaa5ac46075,high-n06-p045,20480,736,4096,False
074bdbaa5ac46075,low-n04-p025,24576,0,4096,False
074bdbaa5ac46075,high-n06-p045,28672,736,4096,False
0ad1ddb47b4d5900,high-n06-p045,4096,736,4096,False
0ad1ddb47b4d5900,low-n04-p025,8192,0,4096,False
0ad1ddb47b4d5900,high-n06-p045,12288,736,4096,False
0ad1ddb47b4d5900,low-n04-p025,16384,0,4096,False
0ad1ddb47b4d5900,high-n06-p045,20480,960,4096,False
0ad1ddb47b4d5900,low-n04-p025,24576,0,4096,False
0ad1ddb47b4d5900,high-n06-p045,28672,704,4096,False
171dff1a9dbd7a56,high-n06-p045,4096,832,4096,False
171dff1a9dbd7a56,low-n04-p025,8192,0,4096,False
171dff1a9dbd7a56,high-n06-p045,12288,768,4096,False
171dff1a9dbd7a56,low-n04-p025,16384,0,4096,False
171dff1a9dbd7a56,high-n06-p045,20480,960,4096,False
171dff1a9dbd7a56,low-n04-p025,24576,0,4096,False
171dff1a9dbd7a56,high-n06-p045,28672,768,4096,False
218a775c876f28c1,high-n06-p045,4096,736,4096,False
218a775c876f28c1,low-n04-p025,8192,0,4096,False
218a775c876f28c1,high-n06-p045,12288,800,4096,False
218a775c876f28c1,low-n04-p025,16384,0,4096,False
218a775c876f28c1,high-n06-p045,20480,768,4096,False
218a775c876f28c1,low-n04-p025,24576,0,4096,False
218a775c876f28c1,high-n06-p045,28672,768,4096,False
242c55addde70ac9,high-n06-p045,4096,864,4096,False
242c55addde70ac9,low-n04-p025,8192,0,4096,False
242c55addde70ac9,high-n06-p045,12288,704,4096,False
242c55addde70ac9,low-n04-p025,16384,0,4096,False
242c55addde70ac9,high-n06-p045,20480,736,4096,False
242c55addde70ac9,low-n04-p025,24576,0,4096,False
242c55addde70ac9,high-n06-p045,28672,832,4096,False
3c85a67058837d8e,high-n06-p045,4096,832,4096,False
3c85a67058837d8e,low-n04-p025,8192,0,4096,False
3c85a67058837d8e,high-n06-p045,12288,800,4096,False
3c85a67058837d8e,low-n04-p025,16384,0,4096,False
3c85a67058837d8e,high-n06-p045,20480,768,4096,False
3c85a67058837d8e,low-n04-p025,24576,0,4096,False
3c85a67058837d8e,high-n06-p045,28672,832,4096,False
3f9f72d0f4730892,high-n06-p045,4096,960,4096,False
3f9f72d0f4730892,low-n04-p025,8192,0,4096,False
3f9f72d0f4730892,high-n06-p045,12288,832,4096,False
3f9f72d0f4730892,low-n04-p025,16384,0,4096,False
3f9f72d0f4730892,high-n06-p045,20480,896,4096,False
3f9f72d0f4730892,low-n04-p025,24576,0,4096,False
3f9f72d0f4730892,high-n06-p045,28672,896,4096,False
3faeef32f6301436,high-n06-p045,4096,800,4096,False
3faeef32f6301436,low-n04-p025,8192,0,4096,False
3faeef32f6301436,high-n06-p045,12288,736,4096,False
3faeef32f6301436,low-n04-p025,16384,0,4096,False
3faeef32f6301436,high-n06-p045,20480,736,4096,False
3faeef32f6301436,low-n04-p025,24576,0,4096,False
3faeef32f6301436,high-n06-p045,28672,736,4096,False
41911d33819e993f,high-n06-p045,4096,768,4096,False
41911d33819e993f,low-n04-p025,8192,0,4096,False
41911d33819e993f,high-n06-p045,12288,736,4096,False
41911d33819e993f,low-n04-p025,16384,0,4096,False
41911d33819e993f,high-n06-p045,20480,736,4096,False
41911d33819e993f,low-n04-p025,24576,0,4096,False
