scope,scenario_id,candidate,baseline,seed_count,utility_difference,utility_lower_95,utility_upper_95,positive_seeds,collision_difference,effective_airtime_difference,p95_delay_difference_us,fairness_difference
phase-segment,low-n04-p025,adaptive_db_lbt,tmc_db_lbt,3,0.017365439545870814,0.01613792102096867,0.01946163077688967,3,-0.06941731770833333,-0.0010685206126232842,-661.0,-0.000220149031014083
phase-segment,high-n06-p045,adaptive_db_lbt,tmc_db_lbt,3,-0.0018932963758562609,-0.0022390722200368307,-0.0014182534835505134,0,0.0033365885416666665,-0.003212311823705294,0.0,3.48641023865115e-05
time-averaged-phase,all-phases,adaptive_db_lbt,tmc_db_lbt,3,0.007736071585007294,0.0071288473098586325,0.008719533676454061,3,-0.033040364583333336,-0.0021404162181642983,-330.5,-9.264246431376726e-05
