run_id,seed,policy,arm_id,phase_index,phase_id,rounds,evaluation_utility,collision_probability,effective_airtime,p95_delay_us,jain_fairness
d1534bca512a5f5a,20011,tmc_db_lbt,,3,high-n06-p045,4096,0.9685086020138497,0.010009765625,0.9581667439676285,22022.0,0.9989103862926706
d1534bca512a5f5a,20011,tmc_db_lbt,,4,low-n04-p025,4096,0.6647068348974733,0.252197265625,0.4153773607426044,114299.0,0.9964890931685659
d1534bca512a5f5a,20011,tmc_db_lbt,,5,high-n06-p045,4096,0.9674584538291731,0.011962890625,0.9564073212869695,22022.0,0.9989842081692999
d1534bca512a5f5a,20011,tmc_db_lbt,,6,low-n04-p025,4096,0.6599035391504707,0.2724609375,0.4171952365626378,114236.0,0.9953330840137741
d1534bca512a5f5a,20011,tmc_db_lbt,,7,high-n06-p045,4096,0.9629287770738597,0.01953125,0.9489700567517011,22022.0,0.9985087119698779
dcccf68a840a4869,20021,tmc_db_lbt,,0,low-n04-p025,4096,0.6373601037661661,0.29150390625,0.37526681369034665,120235.0,0.9959114272956516
dcccf68a840a4869,20021,tmc_db_lbt,,1,high-n06-p045,4096,0.9641962906740087,0.017333984375,0.9510444039321031,22022.0,0.998588956371173
dcccf68a840a4869,20021,tmc_db_lbt,,2,low-n04-p025,4096,0.6631695017714533,0.27978515625,0.4222509151343524,110167.0,0.9974304573675075
dcccf68a840a4869,20021,tmc_db_lbt,,3,high-n06-p045,4096,0.9658454328026709,0.0146484375,0.953697909584228,22022.0,0.9988687169487844
dcccf68a840a4869,20021,tmc_db_lbt,,4,low-n04-p025,4096,0.6582898149050251,0.2646484375,0.4108770842700556,116245.0,0.9949686885700195
dcccf68a840a4869,20021,tmc_db_lbt,,5,high-n06-p045,4096,0.9645825734574786,0.016845703125,0.9513729022665107,22022.0,0.9990530954496752
dcccf68a840a4869,20021,tmc_db_lbt,,6,low-n04-p025,4096,0.6651051703511953,0.272705078125,0.4283595741262356,112254.0,0.9959927455211
dcccf68a840a4869,20021,tmc_db_lbt,,7,high-n06-p045,4096,0.9649851614224415,0.016357421875,0.9521833053785915,22022.0,0.9990842452949826
