hypothesis,status,threshold,paired_difference,lower_95,upper_95
H1,pass,-0.01940086270810274,-7.000326767814258e-07,-2.906834794030311e-05,3.214914265904615e-05
H2,fail,0.08974169131468385,0.0025932810155583465,0.002456033406037019,0.002739562104238759
H3,pass,-0.01,-3.919316391208794e-05,-6.348459121079591e-05,-1.6347653591484436e-05
H4,pass,0.0,0.0015556885962643042,0.001470010674547837,0.0016513163568092533
H5,inconclusive,,,,
