scenario,event_direction,ns3_direction,agreement,event_effective_airtime_difference,event_mean_delay_us_difference,event_collision_probability_difference,ns3_wifi_throughput_mbps_difference,ns3_wifi_mean_delay_us_difference,ns3_wifi_collision_probability_difference,ns3_wifi_channel_occupancy_difference,ns3_nru_throughput_mbps_difference,ns3_nru_mean_delay_us_difference,ns3_nru_collision_probability_difference,ns3_nru_channel_occupancy_difference
static-4x4,inconclusive,degradation,,0.0,0.0,0.0,-0.025890370370369453,-78.03144696160143,0.0031551596139569454,0.0065893394444443976,-0.11422222222222356,3833.0676688658823,0.013919821826280623,0.0233463796296296
dynamic-4x4,improvement,degradation,false,0.0001553837567409566,-2.8737137624484603,-0.0001733333333333309,0.3213451851851854,36.425561190439566,-0.05225359088657751,0.011718514444444467,-0.012183703703704474,1621.9469621480184,0.001981178801386825,0.00953695333333332
nonideal-6x6-300ms,inconclusive,degradation,,0.0,0.0,0.0,-0.22996740740740584,-397.004610810568,0.01868349418460779,-0.024479319259259336,-0.009137777777780798,-2882.331597184879,0.0007423904974016293,-0.009497281851851835
