scenario_id,family,seed_count,baseline_mean,candidate_mean,utility_difference,relative_difference,lower_95,upper_95,positive_seeds,collision_difference,effective_airtime_difference,p95_delay_difference,fairness_difference
combined-n06-p030,combined,10,0.3322942748069343,0.5419025035483982,0.20960822874146395,0.6307909724392575,0.20818065511100467,0.21111284207301975,10,-0.036245,0.0014764093532419116,-468600.2,0.0018277268711500594
load-n06-p015,load,10,0.5761905351176638,0.5955500309905501,0.019359495872886334,0.03359912163245259,0.01900413291216318,0.01969791185306321,10,-0.07694300000000001,-6.557936704668088e-05,-212.6,1.1616985705786842e-05
turnover-n06-p030-j10-l200,turnover,10,0.32718608966653095,0.5407407919688307,0.21355470230229973,0.6527010439837321,0.21203410251138,0.21492368421331792,10,-0.04296,0.0030263575813903516,-523304.2,0.004494149325508745
