scenario_id,family,seed_count,baseline_mean,candidate_mean,utility_difference,relative_difference,lower_95,upper_95,positive_seeds,collision_difference,effective_airtime_difference,p95_delay_difference,fairness_difference
combined-b,combined,10,0.5907134160155671,0.609999282616707,0.019285866601139835,0.03264843167305276,0.018594507756587816,0.019921445706276464,10,-0.04925,0.0053170418504014825,-5391.3,0.004820457953018065
load-p025,load,10,0.6420941478735862,0.6601809086871897,0.018086760813603574,0.02816839379941592,0.017856722609596636,0.01834486352595028,10,-0.07303699999999999,-0.0001944976851620206,166.1,9.230125972869985e-06
occupancy-i100-d2000,occupancy,10,0.7162787244416435,0.7293143009120662,0.013035576470422638,0.01819902787226325,0.012746724327049654,0.013385237897282111,10,-0.051479,4.146969901558384e-05,-215.7,2.4609712252399164e-05
sensing-p035-s08,sensing,10,0.7153539534250243,0.7292138174598171,0.013859864034792746,0.019374833910448763,0.01351490630752893,0.014243742811404593,10,-0.054518,-0.00013161663487590847,-404.7,1.3308739254225265e-05
turnover-j10-l200,turnover,10,0.5902197197326559,0.6107747424238958,0.020555022691240078,0.03482605206845786,0.01995571143306733,0.021208960503150236,10,-0.053402000000000005,0.004975922043105185,-6024.9,0.004587846030615073
